Old taxserial (pre 2018),taxserial,GUI_HomeOrder,GUI_MainTab,GUI_SubTab,GUI_MainTabOrder,GUI_SubTabOrder,GUI_ItemOrder,GUI_DisplayName,COMNAME,species,note,Observation_Type,Taxonomic_Level,Report_Group,Depth_Min,Depth_Max,Region,Habitat_Preference,Likelihood,Max_Size,Record_Max,COMNAME0,species0,typeTC,typeDive
,155760,24_x,,,,,,N. Stag. Bryozoan,Northern staghorn bryozoan,Heteropora pacifica,,invert,species,Bryozoans,0,27,AK-CCA,Rocky,,,,Northern staghorn bryozoan,Heteropora pacifica,,
,156337,,Other,Misc,5,3,8,Fluted Bryozoan,Fluted bryozoan,Hippodiplosia insculpta,,invert,species,Bryozoans,0,235,AK-Baja,Rocky,,,,Fluted bryozoan ,Hippodiplosia insculpta,,
,156755,,Patch,Home,6,1,6,UI Brachiopoda,UI brachiopoda,Unidentified Brachiopoda,,invert patch,phylum,Other Inverts,0,1800,AK-Baja,Rocky,,,,UI brachiopoda,Unidentified brachiopods,,
,156866,x_5,Echinoderms,Sea Stars,3,1,20,Sand Star,Sand star ,Luidia foliolata ,,invert,species,Sea Stars,0,613,AK-Nicaragua,Mud/Sand,,,,Sand star ,Luidia foliolata ,,
,156919,,Echinoderms,Sea Stars,3,1,21,Spiny Sand Star,Spiny sand star,Astropecten armatus,,invert,species,Sea Stars,0,54,SCA-Ecuador,Mud/Sand,,,,Spiny sand star,"Astropecten armatus, 0-60m",,
215,156992,4_4,Echinoderms,Sea Stars,3,1,4,Cookie Star,Cookie star,Ceramaster patagonicus,,invert,species,Sea Stars,0,235,AK-Chile,Rocky,,,,Cookie star,Ceramaster patagonicus,,
206,157007,,Echinoderms,Sea Stars,3,1,22,Spiny Red Star,Spiny red star,Hippasteria spinosa,,invert,species,Sea Stars,0,520,AK-SCA,Mud/Sand,,,,Spiny red star,Hippasteria spinosa,,
,157011,2_2,Echinoderms,Sea Stars,3,1,2,Red Star,Red sea star,Mediaster aequalis,,invert,species,Sea Stars,0,500,AK-Baja,Hard/Soft Mixed,,,,Red sea star,Mediaster aequalis,,
,157050,,Echinoderms,Sea Stars,3,1,8,Fragile Star,Fragile star,Linckia columbiae,,invert,species,Sea Stars,0,40,CCA-SCA,Rocky,,,,Fragile star,Linckia columbiae,,
,157066,,Echinoderms,Sea Stars,3,1,25,Rose Star,Rose star,Crossaster papposus,,invert,species,Sea Stars,0,1200,AK-WA,Hard/Soft Mixed,,,,Rose star,Crossaster papposus,,
,157070,,Echinoderms,Sea Stars,3,1,15,Crested Star,Crested star,Lophaster furcilliger,,invert,species,Sea Stars,12,2000,AK-Baja,,,,,Crested sea star,Lophaster furcilliger,,
,157075,,Echinoderms,Sea Stars,3,1,6,Dawson's,Dawson's sun star,Solaster dawsoni,,invert,species,Sea Stars,0,420,AK-CCA,Rocky,,,,Dawson's sun star,Solaster dawsoni,,
,157078,,Echinoderms,Sea Stars,3,1,18,Stimpson's,Stimpson's sun star,Solaster stimpsoni,,invert,species,Sea Stars,0,600,Japan-CCA,Rocky,,,,Stimpson's sun star,Solaster stimpsoni,,
212,157109,,Echinoderms,Sea Stars,3,1,28,Wrinkled Star,Wrinkled sea star,Pteraster militaris,,invert,species,Sea Stars,10,100,Japan-OR,Mud/Sand,,,,Wrinkled sea star,Pteraster militaris,,
207,157113,,Echinoderms,Sea Stars,3,1,5,Cushion star,Cushion star,Pteraster tesselatus,,invert,species,Sea Stars,9,435,AK-CCA,Rocky,,,,Cushion star,Pteraster tesselatus,,
157122,157133,1_1,Echinoderms,Sea Stars,3,1,1,Bat Star,Bat star,Patiria miniata,,invert,species,Sea Stars,0,300,AK-Baja,Hard/Soft Mixed,,,,Bat star,Asterina miniata,,
,157139,3_3,Echinoderms,Sea Stars,3,1,10,Leather Star,Leather star,Dermasterias imbricata,,invert,species,Sea Stars,0,90,AK-Baja,Hard/Soft Mixed,,,,Leather star,Dermasterias imbricata,,
157158,157152,6_7,Echinoderms,Sea Stars,3,1,9,UI Henricia,UI Henricia,Unidentified Henricia sp.,,invert,genus,Sea Stars,0,900,AK-Baja,Hard/Soft Mixed,,,,Henricia complex,Henricia sp.,,
,157176,,Echinoderms,Sea Stars,3,1,23,Thorny Star,Thorny sea star,Poraniopsis inflata,,invert,species,Sea Stars,0,366,Japan-SCA,Hard/Soft Mixed,,,,Thorny sea star,Poraniopsis inflata,,
,157225,,,,,,,,UI six armed sea star,Unidentified Leptasterias sp.,Intertidal to subtidal,invert,genus,Sea Stars,,,WA-SCA,Rocky,,,,UI tiny six armed sea star,"Leptasterias genus, or other tiny six armed",,
157271,157251,,,,,,,,Pisaster complex,"Pisaster brevispinus, ochraceus, or giganteus",,invert,complex,Sea Stars,0,182,AK-Baja,Hard/Soft Mixed,,,,Pisaster complex,Pisaster sp.,,
,157252,,Echinoderms,Sea Stars,3,1,13,Short Spined,Short spined sea star,Pisaster brevispinus,,invert,species,Sea Stars,0,182,AK-SCA,Hard/Soft Mixed,,,,Short spined sea star,Pisaster brevispinus,,
,157253,,Echinoderms,Sea Stars,3,1,11,Ochre Star,Ochre star,Pisaster ochraceus,,invert,species,Sea Stars,0,90,AK-Baja,Hard/Soft Mixed,,,,Ochre star,Pisaster ochraceus,,
,157256,,Echinoderms,Sea Stars,3,1,12,Giant Spined,Giant spined star,Pisaster giganteus,,invert,species,Sea Stars,0,90,Can-Baja,Hard/Soft Mixed,,,,Giant spined star,Pisaster giganteus,,
,157270,,,,,,,,Rainbow star,Orthasterias koehleri,,invert,species,Sea Stars,0,283,AK-Baja,Hard/Soft Mixed,,,,Rainbow star,Orthasterias koehleri,,
202,157272,5_x,Echinoderms,Sea Stars,3,1,7,Fish Eating Star,Fish eating star,Stylasterias forreri,,invert,species,Sea Stars,3,540,AK-SCA,Hard/Soft Mixed,,,,Fish eating star,Stylasterias forreri,,
,157274,,Echinoderms,Sea Stars,3,1,17,Sunflower Star,Sunflower star,Pycnopodia helianthoides,,invert,species,Sea Stars,0,435,AK-Baja,Hard/Soft Mixed,,,,Sunflower star,Pycnopodia helianthoides,,
,157299,,Echinoderms,Sea Stars,3,1,16,Long Leg Sunflower,Long legged sunflower star,Rathbunaster californicus,,invert,species,Sea Stars,100,768,AK-Baja,Hard/Soft Mixed,,,,Long legged sunflower star,Rathbunaster californicus,,
211,157325,,Patch,Home,6,1,2,UI Brittle Star,UI brittle stars,Unidentified Ophiuroidea,,invert patch,class,Sea Stars,0,3000,AK-Baja,Hard/Soft Mixed,,,,UI brittle star (patch),Unidentified brittle star species patches,,
,157360,,Echinoderms,Sea Stars,3,1,14,Basket Star,Basket star,Gorgonocephalus eucnemis,,invert,species,Sea Stars,10,1850,AK-SCA,Rocky,,,,Basket star,Gorgonocephalus eucnemis,,
,157794,,,,,,,,Spiny brittle star,Ophiothrix spiculata,,invert,species,Sea Stars,0,2000,CCA-Peru,Hard/Soft Mixed,,,,Spiny brittle star ,Ophiothrix spiculata,,
101,157821,,,,,,,,UI urchin,Unidentified Echinoidea,Oceana 2016,invert,class,Sea Urchins,,,,Hard/Soft Mixed,,,,UI urchin,Echinoidea sp.,,
,157873,X_15,Echinoderms,Urch/Cuc,3,2,5,Crowned Urchin,Crowned sea urchin,Centrostephanus coronatus,,invert,species,Sea Urchins,0,125,CCA-Ecuador,Hard/Soft Mixed,,,,Crowned urchin,Centrostephanus coronatus,,
,157929,13_14,Echinoderms,Urch/Cuc,3,2,4,White Urchin,White sea urchin,Lytechinus anamesus,,invert,species,Sea Urchins,0,300,SCA-Baja,Hard/Soft Mixed,,,,White urchin,Lytechinus anamesus,,
,157971,11_12,Echinoderms,Urch/Cuc,3,2,1,Red Urchin,Red sea urchin,Mesocentrotus franciscanus /syn./ Strongylocentrotus franciscanus,,invert,species,Sea Urchins,0,125,AK-Baja,Rocky,,,,Red sea urchin,Strongylocentrotus franciscanus,,
,157975,12_13,Echinoderms,Urch/Cuc,3,2,2,Purple Urchin,Purple sea urchin,Strongylocentrotus purpuratus,,invert,species,Sea Urchins,0,65,AK-Baja,Rocky,,,,Purple sea urchin,Strongylocentrotus purpuratus,,
948999,158150,,Echinoderms,Urch/Cuc,3,2,11,UI White Slipper CUC,UI white slipper sea cucumber,Unidentified Psolus sp.,Oceana 2016,invert,genus,Sea Cucumbers,,,,Rocky,,,,white slipper sea cucumber,Pusolus sp.,,
,158186,,,,,,,,Red sea cucumber,Pachythyone rubra,,invert,species,Sea Cucumbers,,,,,,,,Red sea cucumber,Pachythyone rubra,,
,158204,,Echinoderms,Urch/Cuc,3,2,8,Orange Cucumber,Orange sea cucumber,Cucumaria miniata,,invert,species,Sea Cucumbers,0,225,AK-Baja,Rocky,,,,Orange sea cucumber,Cucumaria miniata,,
,158206,16_19,Echinoderms,Urch/Cuc,3,2,10,White Branched CUC,White branched sea cucumber,Cucumaria piperata,,invert,species,Sea Cucumbers,0,250,Can-Baja,Rocky,,,,White branched cucumber,Cucumaria piperata,,
,158344,14_16,Echinoderms,Urch/Cuc,3,2,6,CA CUC,California sea cucumber,Apostichopus californicus /syn./ Parastichopus californicus,,invert,species,Sea Cucumbers,0,90,AK-Baja,Hard/Soft Mixed,,,,California sea cucumber,Parastichopus californicus,,
,158346,X_17,Echinoderms,Urch/Cuc,3,2,7,Warty CUC,Warty sea cucumber,Apostichopus parvimensis /syn./ Parastichopus parvimensis,,invert,species,Sea Cucumbers,0,30,CCA-Baja,Hard/Soft Mixed,,,,Warty sea cucumber,Parastichopus parvimensis ,,
,158392,,Echinoderms,Urch/Cuc,3,2,13,Deep Sea CUC,Deep sea cucumber,Pannychia moseleyi,,invert,species,Sea Cucumbers,16,1408,,Mud/Sand,,,,Deep sea cucumber,Pannychia moseleyi,,
,158541,,Patch,Home,6,1,3,UI Feather Star,UI feather star,Unidentified Crinoidea,,invert patch,class,Sea Stars,,,,,,,,,,,
,158580,,,,,,,,Feather star,Florometra serratissima,,invert,species,Sea Stars,0,1252,AK-Baja,Hard/Soft Mixed,,,,Feather star ,Florometra serratissima ,,
159000,158853,,,,,,,,UI tunicate,Unidentified Tunicata /syn./ Urochordata,,invert,subphylum,Tunicates,,,,,,,,UI tunicate,Unidentified sedentary tunicate,,
,159015,,Other,Sponge,5,1,17,Elephant Ear Tunicate,Elephant ear tunicate,Polyclinum planum,,invert,species,Tunicates,0,30,NCA-Baja,Rocky,,,,Elephant ear tunicate,Polyclinum planum,,
,159181,27_x,Other,Sponge,5,1,15,Glassy Tunicate,Glassy tunicate,Ascidia paratropa,,invert,species,Tunicates,0,100,AK-CCA,Rocky,,,,Glassy tunicate,Ascidia paratropa,,
,159318,,Other,Sponge,5,1,16,Stalked Tunicate,Stalked tunicate,Styela montereyensis,,invert,species,Tunicates,0,30,Can-Baja,Rocky,,,,Stalked tunicate,Styela montereyensis,,
82596,557227,,Crust/Ceph,Home,4,1,19,GPO,Giant Pacific octopus,Enteroctopus dofleini,,invert,species,Cephalopods,0,1500,AK-Baja,Hard/Soft Mixed,,,,Giant Pacific octopus,Enteroctopus dofleini,,
79763,567420,,Other,Misc,5,3,5,Giant Rock-Scallop,Giant rock-scallop,Crassadoma gigantea,,invert,species,Other Inverts,0,80,AK-Baja,Rocky,,,,Rock scallop,Crassedoma giganteum,,
,567575,,,,,,,,San Diego scallop,Euvola diegensis,,invert,species,Other Inverts,,,,,,,,San Diego scallop,Euvola diegensis,,
,567596,,Other,Nudibranch,5,2,5,Spanish shawl nudi.,Spanish shawl nudibranch,Flabellina iodinea,,invert,species,Nudibranchs & Seahares,0,40,Can-Baja,Rocky,,,,Spanish shawl nudibranch,Flabellina iodinea,,
,567871,,,,,,,,Wavy turban snail,Megastraea undosa,,invert,species,Other Inverts,,,,,,,,Wavy turban snail,Megastraea undosa,,
52740,611773,8_x,Anemones,Home,1,1,4,W.P. Anemone,White-plumed anemone,Metridium farcimen,,invert,species,Anemones,0,300,AK-Baja,Rocky,,,,White-plumed anemone,Metridium farcimen,,
,611869,7_8,Anemones,Home,1,1,1,F.E. Anemone,Fish-eating anemone,Urticina piscivora,,invert,species,Anemones,0,48,AK-SCA,Rocky,,,,Fish eating urticina,Urticina piscivora,,
,611870,9_10,Anemones,Home,1,1,3,Sand-Rose Anemone,Sand-rose anemone     ,Urticina columbiana,,invert,species,Anemones,12,45,Can-Baja,Mud/Sand,,,,Sand-rose anemone     ,Urticina columbiana,,
,656044,,Echinoderms,Urch/Cuc,3,2,12,White Spine CUC,White spine sea cucumber,Apostichopus leukothele /syn./ Parastichopus leukothele,,invert,species,Sea Cucumbers,18,285,Can-SCA,Hard/Soft Mixed,,,,White spine sea cucumber,Parastichopus leukothele,,
,656266,,Crust/Ceph,Home,4,1,20,Acorn Barnacle,Acorn barnacle,Balanus nubilus,,invert,species,Crustaceans,0,91,AK-Baja,Rocky,,,,Acorn barnacle,Balanus nubilus,,
,718928,,,,,,,,UI siphonophore,Unidentified Siphonophorae,,invert,order,Other Inverts,,,,,,,,UI siphonophore,Unidentified siphonophore,,
,719219,17_x,Corals,Home,2,1,8,Short Red Gorgonian,Short red gorgonian,Swiftia spauldingi,"Subtidal, below 50 m",invert,species,Corals - Gorgonians,15,50,WA-SCA,Rocky,,,,Short red gorgonian,Swiftia spauldingi,,
52247,719222,X_22,Corals,Home,2,1,2,Red Gorg,Red gorgonian,Leptogorgia chilensis,,invert,species,Corals - Gorgonians,15,60,CCA-Baja,Rocky,,,,Red gorgonian  ,Lophogorgia chilensis,,
,719252,18_24,Corals,Home,2,1,14,Sea Whip,Sea whip,Halipteris californica,"Subtidal, below 20 m",invert,species,Corals - Whips & Pens,0,20,AK-Baja,Mud/Sand,,,,Sea whip,Halipteris californica,,
,948935,15_18,Echinoderms,Urch/Cuc,3,2,9,Slipper CUC,Slipper sea cucumber,Psolus chitonoides,,invert,species,Sea Cucumbers,0,250,AK-Baja,Rocky,,,,Slipper sea cucumber,Psolus chitonoides,,
220,990588,,,,,,,,Channel star,Tethyaster canaliculatus,,invert,species,Sea Stars,6,78,SCA-Baja,Mud/Sand,,,,Channel star,Tethyaster canaliculatus,,
