taxserial,COMNAME,GUI_MainTab,GUI_SubTab,GUI_HomeOrder,GUI_MainTabOrder,GUI_SubTabOrder,GUI_ItemOrder,GUI_DisplayName,species,Taxonomic_Level,Report_Group,Observation_Type,Depth_Min,Depth_Max,Region,Habitat_Preference,Likelihood,Max_Size,Record_Max,COMNAME0,species0
615485,Threespot Damsel,Other Reef Fish,Damselfish,,7,3,6,Threespot Damsel,Stegastes planifrons,Species,Damselfish,,,,Gulf,,,,,,
168537,Tilefish,Other Reef Fish,Others,,7,9,1,Tilefish,Malacanthidae,Family,Tilefish,,,,Gulf,,,,,,
173319,Toby,Other Reef Fish,Puffers,35,7,7,7,Toby,Canthigaster,Species,Puffers,,,,Gulf,,,,,,
169058,Tomtate,Other Reef Fish,Grunts,,7,5,1,Tomtate,Haemulon aurolineatum,Species,Grunts,,,,Gulf,,,,,,
173128,Triggerfish,Other Reef Fish,,,7,,,Triggerfish,Balistidae,Species,Other Fish,,,,Gulf,,,,,,
166411,Trumpetfish,Other Reef Fish,Others,,7,9,10,Trumpetfish,Aulostomus maculatus,Family,Other Fish,,,,Gulf,,,,,,
166409,Trumpetfish complex,Other Reef Fish,Others,,7,9,11,Trumpetfish complex,Aulostomidae,Species,Other Fish,,,,Gulf,,,,,,
167688,Twospot seabass,Seabasses,Home,,2,1,24,Twospot seabass,Centropristis fuscula,Species,Seabasses,,,,Gulf,,,,,,
999999,UI fish,Other Reef Fish,Others,40,7,9,27,UI fish,Unidentified fish,Species,Other Fish,,,,Gulf,,,,,,
173133,Unicorn Filefish,Other Reef Fish,,,7,,,Unicorn Filefish,Aluterus monoceros,Species,Filefish,,,,Gulf,,,,,,
168909,Vermilion Snapper,Snappers,Home,28,6,1,2,Vermilion Snapper,Rhomboplites aurorubens,Genus,Snappers,,,,Gulf,,,,,,
167704,Warsaw grouper,Seabasses,Home,,2,1,35,Warsaw grouper,Hyporthodus nigritus,Species,Seabasses,,,,Gulf,,,,,,
168913,Wenchman,Snappers,Home,,,,,Wenchman,Pristipomoides aquilonaris,Species,Snappers,,,,Gulf,,,,,,
166141,Western Roughy,,,,,,,Western Roughy,Hoplostethus occidentalis,Species,Other Fish,,,,Gulf,,,,,,
613026,White grunt,Other Reef Fish,Grunts,,7,5,6,White grunt,Haemulon plumierii,Species,Grunts,,,,Gulf,,,,,,
173157,Whitespotted Filefish,Other Reef Fish,Others,,7,9,8,Whitespotted Filefish,Cantherhines macrocerus,Species,Filefish,,,,Gulf,,,,,,
167987,Whitespotted Soapfish,Seabasses,Home,,2,1,20,Whitespotted Soapfish,Rypticus maculatus,Species,Seabasses,,,,Gulf,,,,,,
170477,Wrasse,Other Reef Fish,Labridae,32,7,6,1,Wrasse,Labridae,Species,Wrasses,,,,Gulf,,,,,,
167818,Wrasse Bass,Seabasses,Home,22,2,1,11,Wrasse Bass,Liopropoma eukrines,Species,Seabasses,,,,Gulf,,,,,,
169408,Yellow Goatfish,Other Reef Fish,Others,,7,9,15,Yellow Goatfish,Mulloidichthys martinicus,Species,Goatfish,,,,Gulf,,,,,,
168607,Yellow Jack,Jacks,Home,,4,1,9,Yellow Jack,Caranx bartholomaei,Species,Jacks,,,,Gulf,,,,,,
167699,Yellowedge Grouper,Seabasses,Home,,2,1,30,Yellowedge Grouper,Hyporthodus flavolimbatus,Species,Seabasses,,,,Gulf,,,,,,
167771,Yellowfin Bass,Seabasses,Home,,2,1,6,Yellowfin Bass,Anthias nicholsi,Species,Seabasses,,,,Gulf,,,,,,
167764,Yellowfin Grouper,Seabasses,Home,,2,1,27,Yellowfin Grouper,Mycteroperca venenosa,Species,Seabasses,,,,Gulf,,,,,,
170506,Yellowhead Wrasse,Other Reef Fish,Labridae,,,,,Yellowhead Wrasse,Halichoeres garnoti,Species,Wrasses,,,,Gulf,,,,,,
167762,Yellowmouth Grouper,Seabasses,Home,19,2,1,16,Yellowmouth Grouper,Mycteroperca interstitialis,Species,Seabasses,,,,Gulf,,,,,,
777,Yellow-spotted Basslet,Seabasses,Home,,2,1,12,Yellow-spotted Basslet,Liopropoma olneyi,Species,Seabasses,,,,Gulf,,,,,,
170116,Yellowtail Damsel,Other Reef Fish,Damselfish,,7,3,7,Yellowtail Damsel,Microspathodon chrysurus,Species,Damselfish,,,,Gulf,,,,,,
613242,Yellowtail Reeffish,Other Reef Fish,Damselfish,24,7,3,1,Yellowtail Reeffish,Chromis enchrysurus,Species,Damselfish,,,,Gulf,,,,,,
168907,Yellowtail Snapper,Snappers,Home,,6,1,5,Yellowtail Snapper,Ocyurus chrysurus,Species,Snappers,,,,Gulf,,,,,,
999996,YOY,,Home,42,,,,YOY,Young of year fish (10cm or less),,,,,,Gulf,,,,,,
